,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
49,,"Adryan MDGM","2021-01-03 01:11:59",5,no,no,"Ini asumsi gua aja.. 
Kenapa Curry 8 sepatunya tidak berdecit..?
Karena Steph Curry adalah penembak jitu dari area 3 point.. Jadi mungkin saat offense, Curry bisa berlarian mencari posisi yang tepat untuk dia melakukan 3 point/shoot area 2 point.. Jadi musuhnya tidak bisa mendengar suara sepatu Curry yang berdecit, dan tidak tau kemana arahnya Curry.. Jadi Curry bisa melakukan silent 3 point.",UCdqiEwCDjMZ1J8UYWg4xoIQ,Ugwi1PVOj8txaGQowyl4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwi1PVOj8txaGQowyl4AaABAg
50,,"Reza Faizal","2021-01-03 02:17:18",0,no,no,"Review curry 3 zero 3 dong kak soalnya belum ada di Indo yg nge review",UCQZOyAByBpZAWo684ifVYtw,Ugw3vCpld88cjDVZjT54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw3vCpld88cjDVZjT54AaABAg
51,,"Tegar Kriswinardi","2021-01-03 02:58:25",0,no,no,weartesters,UCI-IAh_pi6s7xDibibPXNpA,UgxfV8fe-WBeKtJVosF4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxfV8fe-WBeKtJVosF4AaABAg
52,,"Muhammad Aryadi","2021-01-03 03:47:28",0,no,no,"Mantep bet dah kayanya ni sepatu..",UCAjYq1vLJ0WukAjFOg3etwg,UgxM8LYPDr0-h3m3sp54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxM8LYPDr0-h3m3sp54AaABAg
53,,"J Λ R","2021-01-03 05:20:23",0,no,no,"Kok gk ada top list?",UCiZdTVRvLA_nw9hLeTtWEuw,UgzR6lkOCfM-bazXYvp4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzR6lkOCfM-bazXYvp4AaABAg
54,,"Tian Main Terus","2021-01-03 07:41:04",1,no,no,"akhirnya curry 8 ada yg unbox mantap saya ke ua nya belum juga release,,mulai koleksi semenjak curry 6,,as a huge fans of curry wajib niih😎🔥",UCN8r22wzLKk_72Xr2Hybtqw,Ugw-KAfuJmbBIJctNyp4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw-KAfuJmbBIJctNyp4AaABAg
55,,"Newbie At All","2021-01-03 09:53:53",0,no,no,"Curry 8: sepatu lari untuk basket",UCqqsr0YPo8Nd73YHifRbV1A,UgxChVVKAHo4JlcniCB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxChVVKAHo4JlcniCB4AaABAg
56,,"Newbie At All","2021-01-03 09:57:04",0,no,no,"Tolong bang, kalau cocok untuk casual bisa ditambah foto juga kepala-kaki",UCqqsr0YPo8Nd73YHifRbV1A,Ugxd5IIDI36ol2Km3xx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugxd5IIDI36ol2Km3xx4AaABAg
57,,"Syahril Dharma","2021-01-03 14:09:22",0,no,no,"Kalau sepatu ini masuk top 10 th 2020 (karena rilis Desember) di urutan ke berapa bang ?",UCd1e8apjazkmUjQZYmp732g,Ugwg7bMFL6WOsQHDB3J4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwg7bMFL6WOsQHDB3J4AaABAg
58,,"Ahmad nur Khaliq","2021-01-03 16:51:36",1,no,no,👍,UCQFQunqbIHN4BZRAVXD_80Q,UgynYMjZ6C0Yyrh374N4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgynYMjZ6C0Yyrh374N4AaABAg
59,,"Redho Afdal","2021-01-04 02:46:42",0,no,no,"Untuk kaki ramping down size berapa min?",UCxR9-I56DqP52E3hDHAsqrA,UgxxzaiH492F-KuWdBt4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxxzaiH492F-KuWdBt4AaABAg
